下,した,"(n,n-pref) below; down; under; bottom; beneath; underneath; just after; right after; inferiority; one's inferior (i.e. one's junior); younger (e.g. of siblings); trade-in; preliminary; (P)",shita,,,,,,,
右,みぎ,(n) right; right hand side; afore-mentioned (esp. in vertical Japanese writing); foregoing; forgoing; above; (P),migi,,,,,,,
左,ひだり,(n) left; left hand side; (P),hidari,,,,,,,
依頼,いらい,"(n,vs) request; commission; dispatch; despatch; dependence; trust; (P)",irai,,,,,,,
以来,いらい,"(n-adv,n-t) since; henceforth; (P)",irai,,,,,,,
一石二鳥,いっせきにちょう,(exp) killing two birds with one stone,issekinichou,,,,,,,
石,いし,(n) stone; gem; jewel; (P),ishi,,,,,,,
意思,いし,(n) intention; purpose,ishi,,,,,,,
世界,せかい,(n) the world; society; the universe; (P),sekai,,,,,,,
目,め,"(n,suf) eye; eyeball; eyesight; look; experience; viewpoint; ordinal number suffix; somewhat; -ish; (P)",me,,,,,,,
目的,もくてき,(n) purpose; goal; aim; objective; intention; (P),mokuteki,,,,,,,
お金,おかね,(n) money; (P),okane,,,,,,,
工場,こうじょう,(n) factory; plant; mill; workshop; (P),koujou,,,,,,,
怖い,こわい,"(adj-i,int) scary; frightening; eerie; dreadful; (I'm) afraid; (P)",kowai,,,,,,,
近い,ちかい,(adj-i) near; close; short (distance); (P),chikai,,,,,,,
遠い,とおい,(adj-i) far; distant; (P),tooi,,,,,,,
間違い,まちがい,(n) mistake; (P),machigai,,,,,,,
ふざける,ふざける,"(v1,uk,ateji) to romp; to gambol; to frolic; to joke; to make fun of; to flirt; to mess around; to screw around; to josh; (P)",fuzakeru,,,,,,,
懐かしい,なつかしい,(adj-i) dear; desired; missed; (P),natsukashii,,,,,,,
難しい,むずかしい,(adj-i) difficult; (P),muzukashii,,,,,,,
易しい,やさしい,(adj-i) easy; plain; simple; (P),yasashii,,,,,,,
優しい,やさしい,(adj-i) tender; kind; gentle; graceful; affectionate; amiable; suave; (P),yasashii,,,,,,,
船,ふね,"(n,n-suf,ctr) ship; boat; watercraft; vessel; steamship; tank; tub; vat; trough; counter for boat-shaped containers (e.g. of sashimi); (P)",fune,,,,,,,
サルベージ,サルベージ,(n) salvage,sarubeeji,,,,,,,
運,うん,(n) fortune; luck; (P),un,,,,,,,
良い,いい,"(adj-i,uk) good; excellent; fine; nice; pleasant; agreeable; sufficient (can be used to turn down an offer); ready; prepared; profitable (e.g. deal, business offer, etc.); (P)",ii,,,,,,,
悪い,わるい,(adj-i) bad; poor; inferior; evil; sinful; unprofitable; unbeneficial; at fault; to blame; in the wrong; sorry; (P),warui,,,,,,,
村,むら,(n) village; (P),mura,,,,,,,
時,とき,"(n-adv,n) time; hour; occasion; moment; (P)",toki,,,,,,,
戦争,せんそう,"(n,vs) war; (P)",sensou,,,,,,,
平和,へいわ,"(adj-na,n) peace; harmony; (P)",heiwa,,,,,,,
つまり,つまり,"(adv,n,uk) in short; in brief; in other words; that is to say; in the long run; after all; blockade; stuffing; ultimate; (P)",tsumari,,,,,,,
意味,いみ,"(n,vs) meaning; significance; (P)",imi,,,,,,,
哲学,てつがく,(n) philosophy; (P),tetsugaku,,,,,,,
完璧,かんぺき,"(adj-na,ik) perfect; complete; flawless; (P)",kanpeki,,,,,,,
確かに,たしかに,(adv) surely; certainly,tashikani,,,,,,,
傷,きず,(n) wound; injury; cut; gash; bruise; scratch; scrape; scar; chip; crack; scratch; nick; flaw; defect; weakness; weak point; stain (on one's reputation); disgrace; dishonor; (P),kizu,,,,,,,
怪我,けが,"(n,vs) injury (to animate object); hurt; (P)",kega,,,,,,,
痛い,いたい,"(adj-i,suf) painful; sore; exceeding; (P)",itai,,,,,,,
理由,りゆう,(n) reason; pretext; motive; (P),riyuu,,,,,,,
嘘,うそ,"(n,col) lie; falsehood; incorrect fact; Really!; Unbelievable!; No way!; (P)",uso,,,,,,,
嘘つき,うそつき,"(n,adj-no,uk) liar (sometimes said with not much seriousness); fibber; (P)",usotsuki,,,,,,,
冗談,じょうだん,"(n,adj-no) jest; joke; (P)",joudan,,,,,,,
本当,ほんとう,"(adj-na,n,ik) truth; reality; (P)",hontou,,,,,,,
年,とし,"(n-adv,n,suf) year; age; (P)",toshi,,,,,,,
月,つき,"(n,n-t) moon; month; (P)",tsuki,,,,,,,
日,ひ,"(n-adv,n-t) day; days; sun; sunshine; sunlight; case (esp. unfortunate); event; (P)",hi,,,,,,,
前,まえ,"(n-adv,n-t,suf) ago; before (some event); previously; (minutes) to (the hour); in front (of); before (e.g. the house); head (of a line); front (e.g. of a bus); fore part; in the presence of; (P)",mae,,,,,,,
後,あと,"(n,adj-no,arch,n-adv) behind; rear; after; later; after one's death; remainder; the rest; descendant; successor; heir; past; previous; more (i.e. five more minutes); (P)",ato,,,,,,,
毒,どく,(n) poison; toxicant; (P),doku,,,,,,,
暗殺,あんさつ,"(n,vs) assassination; (P)",ansatsu,,,,,,,
暗い,くらい,"(adj-i,uk) dark; gloomy; dark (in colour); dull; depressed; dispirited; sorrowful; bitter (as in a dark past); unclear; unfamiliar; unknown; (P)",kurai,,,,,,,
明るい,あかるい,(adj-i) bright; colourful; cheerful; familiar (with); knowledgeable (about); fair (e.g. politics); clean; (P),akarui,,,,,,,
怪しい,あやしい,(adj-i) suspicious; dubious; doubtful; dodgy; charming; bewitching; (P),ayashii,,,,,,,
行動,こうどう,"(n,vs,adj-no) action; conduct; behaviour; behavior; mobilization; mobilisation; (P)",koudou,,,,,,,
話す,はなす,"(v5s,vt) to speak; (P)",hanasu,,,,,,,
雨,あめ,(n) rain; (P),ame,,,,,,,
雪,ゆき,(n) snow; (P),yuki,,,,,,,
降る,ふる,"(v5r,vi) to fall (e.g. rain; snow)​ (P)",furu,,,,,,,
亀,かめ,(n) tortoise; turtle; (P),kame,,,,,,,
寒い,さむい,(adj-i) cold (e.g. weather); dull; uninteresting; lame; (P),samui,,,,,,,
暑い,あつい,"(adj-i) hot (weather, etc.); warm; (P)",atsui,,,,,,,
熱い,あつい,(adj-i) hot (thing); (P),atsui,,,,,,,
冷たい,つめたい,(adj-i) cold (to the touch); chilly; icy; freezing; coldhearted; unfeeling; (P),tsumetai,,,,,,,
早い,はやい,"(adj-i) fast; quick; hasty; brisk; early (in the day, etc.); premature; (too) soon; not yet; (too) early; easy; simple; quick; (P)",hayai,,,,,,,
遅い,おそい,"(adj-i,arch) slow; late (e.g. ""late at night""); too late; dull; stupid; (P)",osoi,,,,,,,
過去,かこ,"(n-adv,n) the past; bygone days; the previous; (P)",kako,,,,,,,
現在,げんざい,"(n-adv,n-t) now; current; present; present time; as of; (P)",genzai,,,,,,,
未来,みらい,"(n,adj-no) the future (usually distant); future tense; the world to come; (P)",mirai,,,,,,,
今,いま,"(n-adv,n) now; the present time; just now; soon; immediately; (one) more; (P)",ima,,,,,,,
今日,きょう,(n-t) today; this day; (P),kyou,,,,,,,
昨日,きのう,"(n-adv,n-t) yesterday; (P)",kinou,,,,,,,
明日,あした,(n-t) tomorrow; (P),ashita,,,,,,,
秘密,ひみつ,"(adj-na,n,adj-no) secret; secrecy; (P)",himitsu,,,,,,,
虫,むし,(n) insect; (P),mushi,,,,,,,
無視,むし,"(n,vs) disregard; ignore; (P)",mushi,,,,,,,
魚,さかな,(n) fish; (P),sakana,,,,,,,
使う,つかう,"(v5u,vt,id) to use (a thing, method, etc.); to make use of; to put to use; to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate; to use (time, money, etc.); (P)",tsukau,,,,,,,
作る,つくる,"(v5r,vt) to make; to produce; to manufacture; to build; to construct; to prepare (food); to brew (alcohol); to raise; to grow; to cultivate; to train; to till; to draw up (a document); (P)",tsukuru,,,,,,,
自由,じゆう,"(exp,adj-na,n) freedom; liberty; as it pleases you; (P)",jiyuu,,,,,,,
わがまま,わがまま,"(adj-na,n) selfishness; egoism; self-indulgence; wilfulness; willfulness; disobedience; whim; (P)",wagamama,,,,,,,
なるほど,なるほど,"(exp,adv,uk) I see; That's right!; Indeed; (P)",naruhodo,,,,,,,
変身,へんしん,"(n,vs) metamorphosis; disguise; transformation; (P)",henshin,,,,,,,
富,とみ,(n) wealth; fortune; (P),tomi,,,,,,,
成長,せいちょう,"(n,vs) growth; grow to adulthood; (P)",seichou,,,,,,,
